Type_Name	ASN1_Type	Parent_Type	Tag/ID	Field_Name	IE_Type	Criticality	Optional	Extensible	Min_Value	Max_Value
E2AP_PDU	CHOICE	E2AP_PDU	1	initiatingMessage	InitiatingMessageMessage					
E2AP_PDU	CHOICE	E2AP_PDU	2	successfulOutcome	SuccessfulOutcomeMessage					
E2AP_PDU	CHOICE	E2AP_PDU	3	unsuccessfulOutcome	unSuccessfulOutcomeMessage					
RICactions-ToBeSetup-List	SEQUENCE	RICactions-ToBeSetup-List			ProtocolIE-SingleContainer				1	maxList
RICaction-Admitted-List	SEQUENCE	RICaction-Admitted-List			ProtocolIE-SingleContainer				1	maxList
RICaction-NotAdmitted-List	SEQUENCE	RICaction-NotAdmitted-List			ProtocolIE-SingleContainer				1	maxList
RICsubscriptionAuditList	SEQUENCE	RICsubscriptionAuditList			ProtocolIE-SingleContainer				1	maxRICsubscriptionAuditList
RICsubscriptionAuditActionList	SEQUENCE	RICsubscriptionAuditActionList			ProtocolIE-SingleContainer				1	maxRICsubscriptionAuditActionList
RICsubscription-List-withCause	SEQUENCE	RICsubscription-List-withCause			ProtocolIE-SingleContainer				1	maxwithCause
RICactions-ToBeRemovedForModification-List	SEQUENCE	RICactions-ToBeRemovedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-ToBeModifiedForModification-List	SEQUENCE	RICactions-ToBeModifiedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-ToBeAddedForModification-List	SEQUENCE	RICactions-ToBeAddedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-RemovedForModification-List	SEQUENCE	RICactions-RemovedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-FailedToBeRemovedForModification-List	SEQUENCE	RICactions-FailedToBeRemovedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-ModifiedForModification-List	SEQUENCE	RICactions-ModifiedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-FailedToBeModifiedForModification-List	SEQUENCE	RICactions-FailedToBeModifiedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-AddedForModification-List	SEQUENCE	RICactions-AddedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-FailedToBeAddedForModification-List	SEQUENCE	RICactions-FailedToBeAddedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-RequiredToBeModified-List	SEQUENCE	RICactions-RequiredToBeModified-List			ProtocolIESingleContainer				1	maxList
RICactions-RequiredToBeRemoved-List	SEQUENCE	RICactions-RequiredToBeRemoved-List			ProtocolIE-SingleContainer				1	maxList
RICactions-ConfirmedForModification-List	SEQUENCE	RICactions-ConfirmedForModification-List			ProtocolIESingleContainer				1	maxList
RICactions-RefusedToBeModified-List	SEQUENCE	RICactions-RefusedToBeModified-List			ProtocolIE-SingleContainer				1	maxList
